,solute_smiles,solvent_smiles,temperature,logS
128,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,308.15,-1.60542
129,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,313.15,-1.53569
130,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,318.15,-1.45805
131,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,323.15,-1.38002
132,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,328.15,-1.28825
133,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,333.15,-1.20721
134,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,338.15,-1.12557
135,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,343.15,-1.04343
136,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,348.15,-0.95409
137,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,353.15,-0.87552
138,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,358.15,-0.79526
139,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,363.15,-0.71477
140,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,368.15,-0.62855
141,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,370.65,-0.57496
142,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,303.2,-1.36353
143,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,323.2,-1.14814
144,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,333.2,-1.06799
145,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,343.2,-0.97724
146,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,353.2,-0.89922
147,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,363.2,-0.80833
148,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,373.2,-0.67355
149,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,403.2,-0.59784
150,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,423.2,-0.5035
151,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,433.2,-0.45536
152,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,443.2,-0.42708
153,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,453.2,-0.34537
154,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,463.2,-0.28369
155,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,473.2,-0.19594
156,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,313.45,0.56485
157,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,316.55,0.57068
158,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,319.35,0.57658
159,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,322.55,0.58286
160,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,327.55,0.59581
161,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,330.85,0.60353
162,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,334.05,0.61095
163,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,336.35,0.61631
164,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,338.95,0.62216
165,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,344.55,0.63459
166,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,349.45,0.64781
167,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,351.25,0.65022
168,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,354.75,0.65834
169,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,358.25,0.66666
170,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,359.85,0.67109
171,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,364.35,0.68078
172,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,367.75,0.68934
173,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,370.35,0.69586
174,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,298.15,0.53497
175,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,303.15,0.54256
176,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,308.15,0.5543
177,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,313.15,0.56432
178,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,318.15,0.57352
179,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,323.15,0.58475
180,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,328.15,0.59777
181,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,333.15,0.60835
182,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,338.15,0.62054
183,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,343.15,0.63078
184,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,348.15,0.64426
185,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,353.15,0.65455
186,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,358.15,0.66659
187,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,363.15,0.67663
188,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,368.15,0.68945
189,C1=CC(=CC=C1C=O)C(=O)O,CN(C)C=O,370.35,0.69595
190,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,296.25,0.10465
191,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,300.15,0.15761
192,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,306.35,0.23334
193,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,308.85,0.27234
194,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,312.65,0.31525
195,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,317.85,0.38338
196,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,321.65,0.42775
197,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,322.45,0.43578
198,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,326.05,0.48331
199,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,329.15,0.52016
200,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,331.95,0.55331
201,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,335.05,0.59233
202,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,337.45,0.62107
203,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,338.65,0.63689
204,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,340.95,0.66699
205,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,341.75,0.67624
206,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,353.2,0.62881
207,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,357.2,0.65279
208,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,361.2,0.68104
209,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,365.2,0.70302
210,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,369.2,0.73201
211,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,373.2,0.75864
212,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,377.2,0.78313
213,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,381.2,0.8167
214,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,385.2,0.84352
215,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,389.2,0.86793
216,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,393.2,0.89638
217,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,397.2,0.91792
218,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,401.2,0.95007
219,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,405.2,0.977
220,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,409.2,1.00273
221,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,413.2,1.03168
222,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,417.2,1.05952
223,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,421.2,1.08671
224,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,293.15,0.06492
225,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,298.15,0.13014
226,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,303.15,0.19434
227,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,308.15,0.2628
228,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,313.15,0.3245
229,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,318.15,0.38432
230,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,323.15,0.44479
231,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,328.15,0.50877
232,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,333.15,0.56778
233,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,338.15,0.63149
234,C1=CC(=CC=C1C=O)C(=O)O,CN1CCCC1=O,341.75,0.67628
235,C1=CC(=CC=C1C(=O)O)C(=O)O,CC(=O)O,298.0,-3.08728
236,C1=CC(=CC=C1C(=O)O)C(=O)O,CC(=O)O,423.0,-1.68938
237,C1=CC(=CC=C1C(=O)O)C(=O)O,CC(=O)O,473.0,-1.13011
238,C1=CC(=CC=C1C(=O)O)C(=O)O,CC(=O)O,523.0,-0.59973
239,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,296.05,-0.43127
240,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,298.85,-0.4246
241,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,301.25,-0.41628
242,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,304.65,-0.40703
243,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,307.35,-0.39766
244,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,311.85,-0.3809
245,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,314.45,-0.37646
246,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,318.05,-0.36561
247,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,320.25,-0.36117
248,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,325.75,-0.34396
249,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,328.25,-0.33481
250,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,331.55,-0.3251
251,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,336.95,-0.31069
252,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,340.25,-0.30053
253,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,343.15,-0.29301
254,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,345.55,-0.28574
255,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,351.65,-0.27027
256,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,353.75,-0.26285
257,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,356.65,-0.25433
258,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,359.95,-0.24667
259,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,365.65,-0.23049
260,C1=CC(=CC=C1C(=O)O)C(=O)O,CN(C)C=O,370.45,-0.2164
261,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,303.2,-0.8541
262,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,313.2,-0.79232
263,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,323.2,-0.70925
264,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,333.2,-0.65271
265,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,343.2,-0.5822
266,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,353.2,-0.53482
267,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,363.2,-0.47823
268,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,296.35,-0.49154
269,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,299.55,-0.43679
270,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,303.75,-0.36531
271,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,307.05,-0.3133
272,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,309.75,-0.27723
273,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,312.75,-0.234
274,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,316.25,-0.18221
275,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,319.65,-0.13759
276,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,324.05,-0.08081
277,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,328.45,-0.02734
278,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,331.55,0.00974
279,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,332.65,0.02126
280,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,343.2,-0.18834
281,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,348.2,-0.13439
282,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,353.2,-0.10558
283,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,358.2,-0.05441
284,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,363.2,-0.03088
285,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,368.2,-0.00286
286,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,373.2,0.01276
287,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,378.2,0.05175
288,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,383.2,0.09008
289,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,388.2,0.12126
290,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,393.2,0.16872
291,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,398.2,0.18805
292,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,403.2,0.23141
293,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,408.2,0.27689
294,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,413.2,0.29491
295,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,418.2,0.34159
296,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,423.2,0.37326
297,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,428.2,0.41093
298,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,433.2,0.42981
299,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,438.2,0.48126
300,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,443.2,0.52212
301,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,448.2,0.55123
302,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,453.2,0.59333
303,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,458.2,0.64406
304,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,463.2,0.6895
305,C1=CC(=CC=C1C(=O)O)C(=O)O,CN1CCCC1=O,468.2,0.73476
306,C1=CC(=CC=C1C(=O)O)C(=O)O,CO,298.0,-2.32145
307,C1=CC(=CC=C1C(=O)O)C(=O)O,CO,423.0,-0.92
