Unnamed: 0,logS,temperature,solvent_smiles,solute_smiles
51,0.142253513,298.15,CC(=O)C,N\C(C#N)=C(/N)C#N
52,-3.297191289,293.15,CC(=O)C,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)CS
53,-1.016460387,298.15,CC(=O)C,ClC1=NC(OC2=CC=C(C=C2)N=NC2=CC=CC=C2)=NC(Cl)=N1
54,-2.843870159,298.15,CC(=O)C,OC1=CC=CC=C1C(=O)NC1=NC=C(S1)N(=O)=O
55,-1.170336471,298.15,CC(=O)C,NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
56,-0.413887927,293.15,CC(=O)C,C(N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
57,0.796849864,288.15,CC(=O)C,COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
58,-1.907416736,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC
59,-0.439803394,298.15,CC(=O)C,[H][C@@](CC(C)=O)(C1C(=O)OC2=CC=CC=C2C1=O)C1=CC=CC=C1
60,0.035633813,293.15,CC(=O)C,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3
61,-1.097448168,293.15,CC(=O)C,CC(N(CCC(O)=O)C(=O)C1=CC=CC=C1)C(O)=O
62,-1.485741766,288.15,CC(=O)C,NC(=O)\N=N\C1=CC=CC(=C1)C(N)=O
63,0.359498417,298.15,CC(=O)C,CC(=O)NC1=CC=CC=C1
64,-1.863660145,293.15,CC(=O)C,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1
65,-1.371410923,297.98999999999995,CC(=O)C,NC(=O)CN1CCCC1=O
66,-2.283762019,293.15,CC(=O)C,CCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
67,-1.10551814,303.15,CC(=O)C,OC(=O)C1=CC=C(C=O)C=C1
68,-0.485005165,293.15,CC(=O)C,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1
69,0.056047153,293.15,CC(=O)C,NC1=C(NC2=CC=C(Cl)C=C2)C=C(Cl)C=C1
70,-0.501438686,293.15,CC(=O)C,CC1(C)[C@@H](CC[C@@]1(C)C(N)=O)C(O)=O
71,-1.84227779,298.15,CC(=O)C,OC1=CC=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O
72,-0.958964009,291.15,CC(=O)C,COC(=O)C1=NNN(C)C1=O
73,0.412228301,293.15,CC(=O)C,CC1=CC=CC(C)=C1C(O)=O
74,-2.641848751,293.15,CC(=O)C,CN(C)C1=CC2=C(NC3=C(C(=C(N(C)N(=O)=O)C(=C3)N(=O)=O)N(=O)=O)S2(=O)=O)C=C1
75,0.116482659,293.15,CC(=O)C,NC1=C(NC2=CC=C(Cl)C=C2)C=CC(Cl)=C1
76,-2.489457297,298.14,CC(=O)C,[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)CO
77,-2.052242072,297.86,CC(=O)C,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
78,-1.627896947,298.15,CC(=O)C,S1C(SC(SC1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
79,-1.552847631,298.2,CC(=O)C,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C=CC2=C1OC=C(C2=O)C1=CC=C(O)C=C1
80,-1.735336862,291.15,CC(=O)C,[H][C@@]12[C@@H](C)CC(=O)[C@]1([H])C(=CO[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC
81,0.643456062,293.15,CC(=O)C,OC(=O)C1=C(Br)C=CC=C1Br
82,-0.81694987,294.15,CC(=O)C,O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O)C1=CC=CC=C1
83,-0.760630239,298.15,CC(=O)C,NS(=O)(=O)C1=CC(=CC=C1)S(N)(=O)=O
84,-1.672818005,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC(C)C
85,-2.504718085,298.15,CC(=O)C,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1
86,-1.163185841,293.15,CC(=O)C,CCCCCCCC(O)CC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
87,-1.916855674,293.29,CC(=O)C,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21
88,-0.929049367,293.15,CC(=O)C,CCCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
89,-0.782235366,292.65,CC(=O)C,NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
90,-2.172700209,290.15,CC(=O)C,C1OC(OC1C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
91,-2.054111614,290.15,CC(=O)C,OOC1(C2=CC=CC=C2)C2=CC=CC=C2C(OO)(C2=CC=CC=C2)C2=C1C=CC=C2
92,-0.167110479,293.15,CC(=O)C,CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1
93,-2.028466869,298.15,CC(=O)C,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N1CCNCC1)C(F)=C2
94,-1.623085206,293.15,CC(=O)C,CC[C@H]1C2=C(CC[C@@]1(C)C(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C)C1=C(C=C2)C=C(OC)C=C1
95,-0.463121583,298.15,CC(=O)C,[H][C@](NC(C)=O)(C(C)C)C(O)=O
96,0.274707345,296.15,CC(=O)C,OC(=O)C1=CC=CC(O)=C1
97,0.258612562,288.15,CC(=O)C,OC(=O)C1=CC=CC=C1Cl
98,-2.914264861,298.15,CC(=O)C,CCOCN1C(=O)C2=C(C=CC=C2)C1=O
99,-0.792311105,291.15,CC(=O)C,OC1=CC(O)=C2C(=O)C(=COC2=C1)C1=CC(O)=C(O)C=C1
100,-1.660560304,293.15,CC(=O)C,C\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
101,-0.981287159,291.45,CC(=O)C,CC1=CC=C2NC3=C(CCCC3=O)C2=C1
102,-0.228397885,290.15,CC(=O)C,CC1(C)C2CCC1(C)C(=O)C2C(=O)C1=CC=CC=C1
103,-0.616930725,293.15,CC(=O)C,O=C1O\C(=N\C2=C(C=CC=C2)N(=O)=O)C2=CC=CC=C12
104,-1.899112145,298.15,CC(=O)C,CC(=O)OC1=CC=C(C=C1)C1=CC(=O)C2=C(OC(C)=O)C=C(OC(C)=O)C=C2O1
105,-1.943231113,290.15,CC(=O)C,C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1
106,-1.613894727,293.15,CC(=O)C,CCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
107,-3.088024262,298.15,CC(=O)C,[H][C@](N)(CSCC#C)C(O)=O
108,0.839847846,287.15,CC(=O)C,OC1=C(C=CC=C1N(=O)=O)N(=O)=O
109,0.130637881,298.15,CC(=O)C,CCCCC(NC(C)=O)C(O)=O
110,-2.619789332,303.15,CC(=O)C,NC1=NC(N)=NC(N)=N1
111,-0.467725965,298.15,CC(=O)C,[H][C@](C)(CC)[C@@]([H])(NC(C)=O)C(O)=O
112,-0.486720856,295.15,CC(=O)C,OC(=O)CNC(=O)C1=C(O)C=C(C=N1)C1=CC(Cl)=CC=C1
113,-1.052568169,298.15,CC(=O)C,C1COCCOC2=C(OCCOCCOC3=C(OCCO1)C=CC=C3)C=CC=C2
114,-0.671145442,293.15,CC(=O)C,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
115,-2.387200434,298.15,CC(=O)C,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
116,0.296557126,298.15,CC(=O)C,N=C(C#N)C(=N)C#N
117,-0.757114242,293.15,CC(=O)C,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=C(O2)C2=C(O[C@H](C2)C(C)=C)C=C1
118,-1.789595827,293.15,CC(=O)C,CCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
119,-1.00229436,303.15,CC(=O)C,CN1CCN(CC2=CC(C)=CC=C2)CC(C1)NC(=O)C1=NNC2=C1C=CC=C2
120,0.763514653,303.15,CC(=O)C,ClCC1=CC=C(C=C1)N(=O)=O
121,0.273335105,299.15,CC(=O)C,OC(=O)CN(CCC#N)CCC#N
122,-0.415569911,293.15,CC(=O)C,[H][C@@]12CC[C@@](C)([C@@H](O)[C@H]1NC(=O)[C@@H](O)C(C)(C)CO)C2(C)C
123,-0.635148702,293.15,CC(=O)C,C[C@H]1OC(=O)C(C1=O)C(C)(C)C1=C(CC(C)=O)[C@@H](C)OC1=O
124,-2.614625863,298.15,CC(=O)C,[H][C@](O)(C1=CC=NC2=C1C=CC=C2)[C@@]1([H])C[C@@H]2CC[N@]1C[C@@H]2C=C
125,0.424178789,293.15,CC(=O)C,O=C(N=N#N)C1=C(C=CC=C1)N(=O)=O
126,-2.277799425,288.15,CC(=O)C,NC(=O)C1=CC=CC2=NC3=CC=CC=C3N=C12
127,-0.073451345,293.15,CC(=O)C,COC(=O)CN1C(CC2=CC=CC=C2)C(=O)N(C1=O)C1=CC=CC=C1
128,-0.493387613,303.15,CC(=O)C,CN(C)C(=S)SSC(=S)N(C)C
129,-1.745606359,293.15,CC(=O)C,CCCCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
130,-0.759830847,298.15,CC(=O)C,CC(N(CCC(O)=O)C(C)=O)C(O)=O
131,-0.294172235,293.15,CC(=O)C,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2OC(C)=O)=CC=C3OC
132,0.247301268,298.14,CC(=O)C,O=C1OC(=O)C2=CC=CC=C12
133,-0.731952364,298.95,CC(=O)C,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1(O2)C(C)=O
134,-2.265526513,288.15,CC(=O)C,CCCCCCCCCCCCCC(=O)CCCCCCCCC(O)=O
135,-0.04508515,289.15,CC(=O)C,N#CSCCSC#N
136,0.327631972,293.15,CC(=O)C,NC1=C(NC2=CC=CC=C2)C=CC(Cl)=C1
137,0.494803302,299.15,CC(=O)C,CC(N(CCC#N)CCC#N)C(O)=O
138,-0.095388362,293.15,CC(=O)C,CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1
139,-1.232358035,295.0,CC(=O)C,[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12
140,-0.022027947,298.15,CC(=O)C,CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
141,-0.136173606,293.15,CC(=O)C,NC1=C(NC2=CC(Cl)=CC=C2)C=CC(Cl)=C1
142,-0.3690667,303.15,CC(=O)C,CCCCCCCC(N)=O
143,-1.900236048,293.15,CC(=O)C,OC1=C2C=CC=CC2=C(O)C(=C1)P1(=O)OC2=CC=CC=C2C2=CC=CC=C12
144,-1.906661981,292.15,CC(=O)C,CN1C2C(N(C)C1=O)N(C)S(=O)(=O)N2C
145,0.129779372,293.15,CC(=O)C,O=C(N=N#N)C1=CC(=CC=C1)N(=O)=O
146,-0.200475114,299.15,CC(=O)C,[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)C(C)C
147,0.389157907,298.15,CC(=O)C,N#C\C(=N/NC1=CC=CC=C1)C#N
148,0.027020488,298.15,CC(=O)C,ClC1=NC(Cl)=NC(Cl)=N1
149,-1.863279662,298.29,CC(=O)C,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O
150,-0.038971514,289.15,CC(=O)C,N#CSC=CSC#N
151,-1.130189922,298.0,CC(=O)C,OC1=CC=C2C=CC=CC2=C1\N=N\C1=CC=CC=C1
152,-1.854345088,298.15,CC(=O)C,NC(=O)C1=CC=C(C=C1)S(N)(=O)=O
153,-1.337249478,293.15,CC(=O)C,C1=CC2=CC3=CC=CC=C3C=C2C=C1
154,-1.155973924,293.15,CC(=O)C,CC(OCC(N)=O)C(N)=O
155,-0.537602221,293.15,CC(=O)C,NC(=O)C1=CC(O)=CC=C1
156,-1.272611445,294.15,CC(=O)C,CC(=O)OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O
157,0.440247065,302.15,CC(=O)C,COC1=C(C(=CC(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
158,-1.231019379,294.15,CC(=O)C,O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=CC=C1)C1=CC=C(C=C1)N(=O)=O
159,-0.65365556,293.15,CC(=O)C,CO\C=C(\C(C)=O)C1=C(OC2=CC(OC3=C(C=CC=C3)C#N)=NC=N2)C=CC=C1
160,-0.184546074,298.15,CC(=O)C,COCN1C(=O)C2=C(C=CC=C2)C1=O
161,-1.103498678,291.15,CC(=O)C,CC1(C)[C@H](CC[C@@]1(C)C(O)=O)C(N)=O
162,0.277740946,293.15,CC(=O)C,CCC[C@H]1CC2=C(C[C@@H](CC)CC3=C1C(=O)OC3=O)C(=O)OC2=O
163,-1.947267216,293.15,CC(=O)C,CCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
164,0.588545704,293.15,CC(=O)C,ClC1=CC=C(Cl)C=C1
165,-0.51935619,293.15,CC(=O)C,O=C1OC(NC2=CC(=CC=C2)N(=O)=O)(NC2=CC(=CC=C2)N(=O)=O)C2=CC=CC=C12
166,-1.358088214,298.14,CC(=O)C,CC1(C)COP(=O)(NCCNP2(=O)OCC(C)(C)CO2)OC1
167,-0.516019467,298.15,CC(=O)C,IC(I)I
168,-0.91579268,297.65,CC(=O)C,COC1=C(NC2=CC(C)=C(C=C2N(=O)=O)N(=O)=O)C=CC=C1
169,0.08790873,298.15,CC(=O)C,CO\N=C(\C(=O)OC)C1=C(CO\N=C(/C)C2=CC(=CC=C2)C(F)(F)F)C=CC=C1
170,0.246296012,293.15,CC(=O)C,C1C2CC3CC1CC(C2)C3
171,-0.369151016,293.15,CC(=O)C,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O
172,-1.642960017,293.15,CC(=O)C,CCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
173,0.456469311,293.15,CC(=O)C,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
174,-0.135580637,298.15,CC(=O)C,CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
175,-0.918843431,303.15,CC(=O)C,[H][C@@]12CCC(=O)[C@@]1(C)CCC1=C3C=CC(O)=CC3=CC=C21
176,-0.245512668,293.15,CC(=O)C,O[C@@H]1CCCC[C@H]1O
177,-0.235201593,290.15,CC(=O)C,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)\C2=C(/O)C1=CC=CC=C1
178,0.85748448,293.15,CC(=O)C,O=C(N=N#N)C1=CC=CC=C1
179,-2.585282514,293.0,CC(=O)C,CCCCCCCCCCCCCCCCCCCCCCCC
180,-0.487933625,288.15,CC(=O)C,O=N(=O)C1=CC=C(C2=C1C=CC=C2N(=O)=O)N(=O)=O
181,-1.948105681,303.15,CC(=O)C,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
182,-1.658384817,293.15,CC(=O)C,CCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
183,0.35852951,291.15,CC(=O)C,CNC(=O)C(=N#N)C(=O)OC
184,-1.097351032,288.15,CC(=O)C,O=C1OC(=O)C2C3=C(C=CC=C3)C1C1=C2C=CC=C1
185,-1.659681409,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)C(C)C
186,-1.499232252,296.15,CC(=O)C,OC(=O)C1=CC=CN=C1
187,-1.30213449,291.15,CC(=O)C,ClC1=CC=CC2=C1C=CC1=NC3=CC=CC=C3N(=O)=C21
188,-1.6005955,298.14,CC(=O)C,OC1=CC=CC2=C1C(=O)C1=C(O)C=CC=C1C2=O
189,0.534039156,298.15,CC(=O)C,OC1=CC(O)=CC(O)=C1
190,0.430177531,293.04999999999995,CC(=O)C,CCCCOC(=O)C1=CC=C(O)C=C1
191,0.175105621,299.15,CC(=O)C,[H][C@@](CC1=CC=C(O)C=C1)(N(CCC#N)CCC#N)C(O)=O
192,-1.722553688,298.15,CC(=O)C,CN(C)C1=CC=C(C=C1)N(=O)=O
193,-2.676107361,293.15,CC(=O)C,COC1=CC(\C=C\CO)=CC(OC)=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
194,-2.403715714,288.15,CC(=O)C,[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=CC=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H]
195,-1.388288632,297.15,CC(=O)C,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1
196,-0.698970004,293.15,CC(=O)C,CC(=O)NC1=CC=CC=C1C(O)=O
197,-1.207123417,293.15,CC(=O)C,OC(=O)[C@H]1[C@H]([C@H]([C@@H]1C1=CC=CC=C1)C1=CC=CC=C1)C(O)=O
198,-0.906578621,293.15,CC(=O)C,NC(=O)C1=CC=C(O)C=C1
199,0.204247063,293.15,CC(=O)C,NC1=C(NC2=CC=CC=C2)C=CC=C1Cl
200,-0.66756881,298.15,CC(=O)C,CC(C)(O)[C@H]1CC[C@@](C)(O)CC1
201,-0.936435936,293.15,CC(=O)C,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC
202,-0.878291949,293.15,CC(=O)C,OC1=CC(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC=C(O)C(O)=C1
203,-1.37873342,293.15,CC(=O)C,CCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
204,-1.954628378,298.15,CC(=O)C,[H][C@@](CCC(O)=O)(NC(C)=O)C(O)=O
205,-1.657577319,293.15,CC(=O)C,CC(=O)NC1=CC=CC(=C1)C(O)=O
206,-0.943035544,288.15,CC(=O)C,O=N(=O)C1=CC=C(NC2=CC=CC=C2)C(=C1)N(=O)=O
207,-2.587123653,295.65,CC(=O)C,CNC(=O)C1=CC=CC=C1SC1=CC=C2C(NN=C2\C=C\C2=NC=CC=C2)=C1
208,-1.759393273,293.15,CC(=O)C,CCCCCCCCC(O)CC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
209,0.775650381,291.15,CC(=O)C,O=N(=O)C1=CC=CC2=C1C=CC=C2
210,-0.685250406,296.15,CC(=O)C,NC(=O)NCC1=CC=CC=C1
211,-0.167429512,290.65,CC(=O)C,O[C@@H]1CCC[C@@H](O)C1
212,0.547763067,288.15,CC(=O)C,CC1=CC=C(C=C1N(=O)=O)N(=O)=O
213,-2.004035333,295.65,CC(=O)C,ClC1=C(Cl)C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2C(Cl)=C1Cl
