StdInChIKey,SMILES,LogS,T,Source,Solvent,Solvent_SMILES,Smilesa,REF1,REF2,REF3,REF4,REF5
GSTRJEXEASEEIB-WKEGUHRASA-N,CC1(C)[C@@H](CC[C@@]1(C)C(N)=O)C(O)=O,-0.501438686,20.0,Reaxys,acetone,CC(=O)C,,,,,,
GUEIZVNYDFNHJU-UHFFFAOYSA-N,OC1=CC=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O,-1.84227779,25.0,Reaxys,acetone,CC(=O)C,,,,,,
GVKZASFESNAHJC-UHFFFAOYSA-N,COC(=O)C1=NNN(C)C1=O,-0.958964009,18.0,Reaxys,acetone,CC(=O)C,,,,,,
GXGKKIPUFAHZIZ-UHFFFAOYSA-N,C(SC1=NN=NN1)C1=CC=CC=C1,-0.455931956,,Reaxys,acetone,CC(=O)C,,,,,,
HCBHQDKBSKYGCK-UHFFFAOYSA-N,CC1=CC=CC(C)=C1C(O)=O,0.412228301,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HCTVORVYPUEFSX-UHFFFAOYSA-N,CN(C)C1=CC2=C(NC3=C(C(=C(N(C)N(=O)=O)C(=C3)N(=O)=O)N(=O)=O)S2(=O)=O)C=C1,-2.641848751,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HDMPHMIWIIZWCE-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=CC(Cl)=C1,0.116482659,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HEBKCHPVOIAQTA-SCDXWVJYSA-N,[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)CO,-2.489457297,24.99,Reaxys,acetone,CC(=O)C,,,,,,
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,-2.052242072,24.71,Reaxys,acetone,CC(=O)C,,,,,,
HEWGVSGLMQJYHJ-UHFFFAOYSA-N,FC1=CC(=CC(F)=C1Br)N1C(=O)C=CC1=O,-2.869306476,25.19,Reaxys,acetone,CC(=O)C,,,,,,
HJHSNTOTXYILIV-UHFFFAOYSA-N,S1C(SC(SC1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-1.627896947,25.0,Reaxys,acetone,CC(=O)C,,,,,,
HKEAFJYKMMKDOR-VPRICQMDSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C=CC2=C1OC=C(C2=O)C1=CC=C(O)C=C1,-1.552847631,25.05,Reaxys,acetone,CC(=O)C,,,,,,
HLXRWTJXGMHOFN-XJSNKYLASA-N,[H][C@@]12[C@@H](C)CC(=O)[C@]1([H])C(=CO[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC,-1.735336862,18.0,Reaxys,acetone,CC(=O)C,,,,,,
HMWPNDNFTFSCEB-UHFFFAOYSA-N,C1OOCN2COOCN1COOC2,-1.905036632,,Reaxys,acetone,CC(=O)C,,,,,,
HQLOEBRPCVIFCT-UHFFFAOYSA-N,OC(=O)C1=C(Br)C=CC=C1Br,0.643456062,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HSXJIIOATUZQAZ-UHFFFAOYSA-N,O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O)C1=CC=CC=C1,-0.81694987,21.0,Reaxys,acetone,CC(=O)C,,,,,,
HUYYFHGIHVULSU-UHFFFAOYSA-N,NS(=O)(=O)C1=CC(=CC=C1)S(N)(=O)=O,-0.760630239,25.0,Reaxys,acetone,CC(=O)C,,,,,,
HWVAWHHNNDOXDU-PTHRTHQKSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC(C)C,-1.672818005,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HXEWMTXDBOQQKO-UHFFFAOYSA-N,ClC1=CC=C2C(Cl)=CC=NC2=C1,-0.097865989,26.04,Reaxys,acetone,CC(=O)C,,,,,,
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,-2.504718085,25.0,Reaxys,acetone,CC(=O)C,,,,,,
HXIGUHNNGMNPTO-UHFFFAOYSA-N,CCCCCCCC(O)CC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-1.163185841,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HYXITZLLTYIPOF-UHFFFAOYSA-N,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,-1.916855674,20.14,Reaxys,acetone,CC(=O)C,,,,,,
HZKJLTIPRKRDQX-CCEZHUSRSA-N,CCCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-0.929049367,20.0,Reaxys,acetone,CC(=O)C,,,,,,
HZRSNVGNWUDEFX-UHFFFAOYSA-N,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,0.110336443,20.0,Reaxys,acetone,CC(=O)C,,,,,,
IAHOUQOWMXVMEH-UHFFFAOYSA-N,NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,-0.782235366,19.5,Reaxys,acetone,CC(=O)C,,,,,,
IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)N(=O)=O,-1.91405064,,Reaxys,acetone,CC(=O)C,,,,,,
IAJJZOUCJCCJTG-UHFFFAOYSA-N,C1OC(OC1C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-2.172700209,17.0,Reaxys,acetone,CC(=O)C,,,,,,
